PK,CCR,GENDER,RACE,AGE,CITEDTIME,INCIDENTLOCATION,OFFENSES,NEIGHBORHOOD,ZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
1077920,16000875,M,B,28,2016-01-02T12:15:00,"800 Block MT PLEASANT RD PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Northview Heights,1,2609,1,1,-79.99947307,40.47574398
1077921,16031601,M,B,21,2016-02-21T00:30:00,"1600 Block E CARSON ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,3,-79.98264653,40.42874675
1077922,16029759,M,W,55,2016-02-18T13:50:00,"1300 Block BREINING ST PITTSBURGH, PA ",633.05 Rabies Vaccination,Brookline,6,1918,4,5,-80.01069873,40.39119819
1077923,16029759,M,W,55,2016-02-18T13:50:00,"1300 Block BREINING ST PITTSBURGH, PA ",5511(c)(1) CRUELTY TO ANIMALS,Brookline,6,1918,4,5,-80.01069873,40.39119819
1077924,16029759,M,W,19,2016-02-10T16:00:00,"1300 Block BREINING ST PITTSBURGH, PA ",633.05 Rabies Vaccination,Brookline,6,1918,4,5,-80.01069873,40.39119819
1077841,16155189,M,W,29,2016-08-19T04:15:00,"29TH ST & PENN AV PITTSBURGH, PA ",5505 Public Drunkenness,Strip District,2,203,7,6,-79.97419937,40.45783708
1077842,16155145,M,B,22,2016-08-19T02:30:00,"E CARSON ST & S 14TH ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,South Side Flats,3,1702,3,3,-79.98414574,40.42879918
1077843,16155138,M,W,19,2016-08-19T02:08:00,"WRIGHTS WY & S 18TH ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98051371,40.42922838
1077844,16155095,M,O,24,2016-08-19T01:00:00,"1400 Block E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.98403098,40.42864859
1077845,16154922,M,W,58,2016-08-18T20:05:00,"200 Block S FAIRMOUNT ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,Friendship,5,807,7,2,-79.93380359,40.46232738
1077846,16149855,F,B,30,2016-08-10T11:00:00,"300 Block CLOVER ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Arlington,3,1603,3,3,-79.97202395,40.41473751
1077847,16123154,M,W,41,2016-07-02T19:15:00,"HEINZ FIELD PITTSBURGH, PA ",3503(b)(1)(i) Actual Communication,Lincoln-Lemington-Belmar,1,1201,,,0,0
1077848,16123154,F,W,42,2016-07-02T19:15:00,"HEINZ FIELD PITTSBURGH, PA ",3503(b)(1)(i) Actual Communication,Lincoln-Lemington-Belmar,1,1201,,,0,0
1077849,16153372,M,A,27,2016-08-16T17:00:00,"700 Block JAMES ST PITTSBURGH, PA ",5505 Public Drunkenness,East Allegheny,1,2304,1,1,-80.00053545,40.45350303
1077850,16153648,M,W,22,2016-08-17T01:01:00,"5700 Block BEELER ST PITTSBURGH, PA ",601.12 Interference with Official Duties,Squirrel Hill North,4,1401,8,3,-79.93127008,40.44556771
1077851,16153732,F,B,27,2016-08-17T04:16:00,"2400 Block PARK HILL DR PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,East Hills,5,1306,9,2,-79.87380288,40.45582712
1077852,16153732,F,B,22,2016-08-17T04:16:00,"2400 Block PARK HILL DR PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,East Hills,5,1306,9,2,-79.87380288,40.45582712
1077853,16153648,M,W,22,2016-08-17T01:01:00,"5700 Block BEELER ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Squirrel Hill North,4,1401,8,3,-79.93127008,40.44556771
1077854,16153732,F,B,27,2016-08-17T06:08:00,"2400 Block PARK HILL DR PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,East Hills,5,1306,9,2,-79.87380288,40.45582712
1077855,16154165,M,A,0,2016-08-17T18:34:00,"400 Block E OHIO ST PITTSBURGH, PA ",5505 Public Drunkenness,East Allegheny,1,2304,1,1,-80.00153324,40.45347051
1077856,16154245,F,O,53,2016-08-17T20:34:00,"400 Block KIRK AV PITTSBURGH, PA ",2709(a)(3) Harassment No Legitimate Purpose,Carrick,3,2904,4,3,-79.9769785,40.39128312
1077857,16154260,M,W,21,2016-08-17T18:40:00,"6TH AV & 5TH AV PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",Golden Triangle/Civic Arena,2,201,6,6,-79.99466204,40.43894734
1077858,16154931,M,W,59,2016-08-18T20:16:00,"100 Block E ELIZABETH ST PITTSBURGH, PA ",5505 Public Drunkenness,Hazelwood,4,1515,5,3,-79.94320442,40.40704769
1077859,16148744,M,W,45,2016-08-10T03:30:00,"7TH STREET BRIDGE PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Golden Triangle/Civic Arena,2,201,2,5,-80.05910627,40.42937714
1077860,16147454,F,B,12,2016-08-07T19:30:00,"PENN AV & FIFTH AV PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Shadyside,5,708,8,3,-79.91242362,40.45403729
1077861,16146739,F,B,29,2016-08-07T04:30:00,"200 Block DINWIDDIE ST PITTSBURGH, PA ","601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",Crawford-Roberts,2,305,6,3,-79.98046032,40.43913488
1077862,16146054,M,W,26,2016-08-06T04:20:00,"500 Block MARKET ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Golden Triangle/Civic Arena,2,201,6,6,-80.00203404,40.44137448
1077863,16146054,M,W,25,2016-08-06T04:20:00,"500 Block MARKET ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Golden Triangle/Civic Arena,2,201,6,6,-80.00203404,40.44137448
1077864,16128942,M,W,51,2016-07-11T21:10:00,"1900 Block E CARSON ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",South Side Flats,3,1702,3,3,-79.97896499,40.42846581
1077865,16148357,M,O,12,2016-08-09T15:10:00,"1600 Block WESTMONT AV PITTSBURGH, PA ","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",Carrick,3,2901,4,3,-79.99058857,40.39976855
1077866,16148357,M,O,10,2016-08-09T15:10:00,"1600 Block WESTMONT AV PITTSBURGH, PA ","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",Carrick,3,2901,4,3,-79.99058857,40.39976855
1077867,16148603,M,W,56,2016-08-09T18:00:00,"3200 Block BRIGHTON RD PITTSBURGH, PA ",5505 Public Drunkenness,Marshall-Shadeland,1,2715,1,1,-80.03076371,40.47563977
1077981,16163607,M,B,18,2016-08-30T23:51:00,"1200 Block E CARSON ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,South Side Flats,3,1702,3,3,-79.98638716,40.42869554
1077869,16149306,M,B,30,2016-08-10T17:45:00,"W GENERAL ROBINSON ST & FEDERAL ST PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,North Shore,1,2205,1,6,-80.00425006,40.44824568
1077885,16031464,M,B,41,2016-02-20T20:36:00,"400 Block E OHIO ST PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,East Allegheny,1,2304,1,1,-80.00153324,40.45347051
1077886,16031569,F,O,18,2016-02-21T00:03:00,"1600 Block SMALLMAN ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Strip District,2,203,7,6,-79.98764669,40.44956619
1077887,16031464,M,B,41,2016-02-20T20:36:00,"400 Block E OHIO ST PITTSBURGH, PA ",5505 Public Drunkenness,East Allegheny,1,2304,1,1,-80.00153324,40.45347051
1077888,16017044,M,W,21,2016-01-29T02:00:00,"200 Block ATWOOD ST PITTSBURGH, PA ","6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters",Central Oakland,4,405,3,3,-79.95688887,40.44042041
1077982,16153349,M,B,15,2016-08-16T00:00:00,"700 Block LORENZ AV PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Elliott,6,2020,2,5,-80.03924654,40.44511005
1077983,16153349,M,B,15,2016-08-16T16:36:00,"700 Block LORENZ AV PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Elliott,6,2020,2,5,-80.03924654,40.44511005
1077984,16156659,M,B,21,2016-08-21T01:25:00,"300 Block SEMPLE ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Central Oakland,4,405,3,3,-79.95709363,40.43873757
1077985,16156699,M,B,47,2016-08-21T06:29:00,"1000 Block BEECHER ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,Homewood West,5,1207,9,2,-79.90233174,40.45979188
1077986,16160083,M,O,23,2016-08-28T00:58:00,"N DITHRIDGE ST & BAYARD ST PITTSBURGH, PA ",601.08 (a) Open Container Law,North Oakland,4,404,8,3,-79.95184597,40.44898822
1077987,16160089,M,W,20,2016-08-26T01:14:00,"S 13TH ST & BINGHAM ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.98535638,40.42944164
1077988,16160160,M,W,21,2016-08-26T04:04:00,"5200 Block FORBES AV PITTSBURGH, PA ",5505 Public Drunkenness,Squirrel Hill North,4,1401,8,3,-79.93763749,40.44230942
1077989,16160160,M,W,21,2016-08-26T04:04:00,"5200 Block FORBES AV PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Squirrel Hill North,4,1401,8,3,-79.93763749,40.44230942
1077990,16160160,M,W,21,2016-08-26T04:04:00,"5200 Block FORBES AV PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Squirrel Hill North,4,1401,8,3,-79.93763749,40.44230942
1077991,16160160,M,W,21,2016-08-26T04:04:00,"5200 Block FORBES AV PITTSBURGH, PA ",5505 Public Drunkenness,Squirrel Hill North,4,1401,8,3,-79.93763749,40.44230942
1077992,16160887,M,W,30,2016-08-27T02:05:00,"E CARSON ST & S 15TH ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,3,-79.98342493,40.42881518
1077993,16161549,M,W,22,2016-08-28T00:03:00,"300 Block REAR S BOUQUET ST PITTSBURGH, PA ","601.04 (c) (2) Loudspeakers, etc 0700-2200 >75dB(c) 2200-0700 >75 dB(c)",Central Oakland,4,405,,,0,0
1077994,16161549,M,W,22,2016-08-28T00:03:00,"300 Block REAR S BOUQUET ST PITTSBURGH, PA ","601.04 (c) (2) Loudspeakers, etc 0700-2200 >75dB(c) 2200-0700 >75 dB(c)",Central Oakland,4,405,,,0,0
1077995,16161549,M,W,21,2016-08-28T00:03:00,"300 Block REAR S BOUQUET ST PITTSBURGH, PA ","601.04 (c) (2) Loudspeakers, etc 0700-2200 >75dB(c) 2200-0700 >75 dB(c)",Central Oakland,4,405,,,0,0
1077996,16161549,M,W,21,2016-08-28T00:03:00,"300 Block REAR S BOUQUET ST PITTSBURGH, PA ","601.04 (c) (2) Loudspeakers, etc 0700-2200 >75dB(c) 2200-0700 >75 dB(c)",Central Oakland,4,405,,,0,0
1077997,16161549,M,W,23,2016-08-28T00:03:00,"300 Block REAR S BOUQUET ST PITTSBURGH, PA ","601.04 (c) (2) Loudspeakers, etc 0700-2200 >75dB(c) 2200-0700 >75 dB(c)",Central Oakland,4,405,,,0,0
1077998,16161642,M,W,30,2016-08-28T02:25:00,"1300 Block MILAN AV PITTSBURGH, PA ",5505 Public Drunkenness,Brookline,6,3206,4,5,-80.0100274,40.39376485
1077999,16162036,M,W,68,2016-08-28T19:34:00,"BROADWAY AV & BELASCO AV PITTSBURGH, PA ",5505 Public Drunkenness,Beechview,6,1916,4,5,-80.02697927,40.40711594
1078000,16162768,M,W,56,2016-08-29T20:24:00,"1500 Block BROWNSVILLE RD PITTSBURGH, PA ",5505 Public Drunkenness,Carrick,3,2901,4,3,-79.9892215,40.40036794
1078001,16162768,M,W,56,2016-08-29T20:24:00,"1500 Block BROWNSVILLE RD PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Carrick,3,2901,4,3,-79.9892215,40.40036794
1078002,16162768,M,W,56,2016-08-29T20:24:00,"1500 Block BROWNSVILLE RD PITTSBURGH, PA ",601.08 (a) Open Container Law,Carrick,3,2901,4,3,-79.9892215,40.40036794
1078003,16162957,M,W,47,2016-08-30T03:40:00,"200 Block S HIGHLAND AV PITTSBURGH, PA ",5505 Public Drunkenness,Shadyside,4,708,8,2,-79.92543474,40.45853284
1078004,16163469,M,B,59,2016-08-30T19:19:00,"WEST END BRIDGE & WESTERN AVE RAMP PITTSBURGH, PA ","5507(a) Obstructing highway, railroad or public passage",Chateau,1,2108,,,0,0
1078005,16163673,M,W,27,2016-08-31T01:49:00,"1200 Block E CARSON ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,South Side Flats,3,1702,3,3,-79.98638716,40.42869554
1078006,16163673,M,W,27,2016-08-31T01:49:00,"1200 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98638716,40.42869554
1078007,16163673,M,W,27,2016-08-31T01:49:00,"1200 Block E CARSON ST PITTSBURGH, PA ","601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",South Side Flats,3,1702,3,3,-79.98638716,40.42869554
1078008,16164250,M,W,14,2016-08-31T20:00:00,"4200 Block GLADSTONE ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,Greenfield,4,1516,5,3,-79.94523294,40.42248476
1078009,16164384,M,W,48,2016-09-01T00:31:00,"1400 Block LOCUST ST PITTSBURGH, PA ",5505 Public Drunkenness,Bluff,2,103,6,3,-79.98545539,40.43603601
1078101,16160079,M,W,21,2016-08-26T00:55:00,"1400 Block E CARSON ST PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,South Side Flats,3,1702,3,3,-79.98403098,40.42864859
1078102,16160079,M,W,21,2016-08-26T01:14:00,"1400 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98403098,40.42864859
1078103,16160814,M,B,20,2016-08-26T23:48:00,"3800 Block BATES ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,Central Oakland,4,406,3,3,-79.95334729,40.43860129
1078104,16160814,M,W,21,2016-08-26T23:48:00,"3800 Block BATES ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,Central Oakland,4,406,3,3,-79.95334729,40.43860129
1078105,16160921,M,W,17,2016-08-27T01:50:00,"1400 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98403098,40.42864859
1078106,16160921,M,W,17,2016-08-27T01:50:00,"1400 Block E CARSON ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,South Side Flats,3,1702,3,3,-79.98403098,40.42864859
1078107,16163219,F,W,28,2016-08-30T09:00:00,"600 Block ELMBANK ST PITTSBURGH, PA ",633.02(a) Dog License Required; 3 Months or Older,Brookline,6,1917,4,5,-80.01608926,40.39948422
1078108,16163219,F,W,28,2016-08-30T09:00:00,"600 Block ELMBANK ST PITTSBURGH, PA ",633.05 Rabies Vaccination,Brookline,6,1917,4,5,-80.01608926,40.39948422
1078109,16164284,M,B,48,2016-08-31T21:28:00,"10 Block AMANDA ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Allentown,3,1803,4,3,-79.98910962,40.40642462
1078110,16165101,M,W,21,2016-09-02T00:56:00,"BATES ST & SEMPLE ST PITTSBURGH, PA ",5505 Public Drunkenness,Central Oakland,4,405,3,3,-79.95496895,40.43710024
1078111,16165905,M,H,26,2016-09-03T02:42:00,"S 17TH ST & E CARSON ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,South Side Flats,3,1702,3,3,-79.98204758,40.42883493
1078112,16165925,M,B,30,2016-09-03T03:58:00,"2300 Block PARK HILL DR PITTSBURGH, PA ","601.04(e)(1) Amplified Noise from a vehicle operated on a public street, alley, etc, at a distance of (75) feet",East Hills,5,1306,9,2,-79.87407838,40.45475038
1078113,16165925,M,B,30,2016-09-03T03:58:00,"2300 Block PARK HILL DR PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,East Hills,5,1306,9,2,-79.87407838,40.45475038
1078114,16165925,M,B,30,2016-09-03T03:58:00,"2300 Block PARK HILL DR PITTSBURGH, PA ",5505 Public Drunkenness,East Hills,5,1306,9,2,-79.87407838,40.45475038
1078115,16166203,F,W,51,2016-09-03T15:35:00,"ALDER ST & HIGHLAND AV PITTSBURGH, PA ",5505 Public Drunkenness,Shadyside,4,705,8,2,-79.92519835,40.45737814
1078116,16166361,F,B,24,2016-09-03T16:00:00,"HAMILTON AV & N LANG AV PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,Homewood South,5,1303,9,2,-79.89964249,40.455107
1078117,16166520,M,W,26,2016-09-04T01:00:00,"1300 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98517511,40.42860697
